district,osm_id,electoral_district
Адыгея,,1
Республика Алтай,,2
Дёмский район,,3
Кировский район,5523570,3
Советский район,3856973,3
Благоварский район,,3
Буздякский район,,3
Давлекановский район,,3
Кармаскалинский район,,3
Авдонский сельсовет,,3
Булгаковский сельсовет,,3
Жуковский сельсовет,,3
Зубовский сельсовет,,3
Ольховский сельсовет,,3
Таптыковский сельсовет,,3
Чесноковский сельсовет,,3
Юматовский сельсовет,,3
Чекмагушевский район,,3
Чишминский район,,3
Ленинский район,5523346,4
Орджоникидзевский район,5523682,4
Аскинский район,,4
Балтачевский район,,4
Белокатайский район,,4
Бирский район,,4
Благовещенский район,398512,4
Бураевский район,,4
Дуванский район,,4
Караидельский район,,4
Кигинский район,,4
Кушнаренковский район,,4
Мечетлинский район,,4
Мишкинский район,,4
Нуримановский район,,4
Салаватский район,,4
Татышлинский район,,4
Алексеевский сельсовет,,4
Дмитриевский сельсовет,,4
Кармасанский сельсовет,,4
Красноярский сельсовет,,4
Миловский сельсовет,,4
Михайловский сельсовет,,4
Николаевский сельсовет,,4
Черкасский сельсовет,,4
Шемякский сельсовет,,4
Калининский район,5523739,5
Октябрьский район,5493970,5
ЗАТО Межгорье,,5
Архангельский район,,5
Белорецкий район,,5
Иглинский район,,5
Кирилловский сельсовет,,5
Русско-Юрмашский сельсовет,,5
Учалинский район,,5
городской округ Агидель,,6
городской округ Нефтекамск,,6
городской округ Октябрьский,,6
Бакалинский район,,6
Дюртюлинский район,,6
Илишевский район,,6
Калтасинский район,,6
Краснокамский район,,6
Туймазинский район,,6
Шаранский район,,6
Янаульский район,,6
городской округ Кумертау,,7
городской округ Салават,,7
городской округ Сибай,,7
Абзелиловский район,,7
Баймакский район,,7
Бурзянский район,,7
Зианчуринский район,,7
Зилаирский район,,7
Кугарчинский район,,7
Куюргазинский район,,7
Мелеузовский район,,7
Стерлибашевский район,,7
Фёдоровский район,398533,7
Хайбуллинский район,,7
городской округ Стерлитамак,,8
Альшеевский район,,8
Аургазинский район,,8
Белебеевский район,,8
Бижбулякский район,,8
Гафурийский район,,8
Ермекеевский район,,8
Ишимбайский район,,8
Миякинский район,,8
Стерлитамакский район,,8
Республика Бурятия,,9
городской округ Каспийск,,10
городской округ Кизилюрт,,10
городской округ Кизляр,,10
городской округ Махачкала,,10
городской округ Южно-Сухокумск,,10
Бабаюртовский район,,10
Кизилюртовский район,,10
Кизлярский район,,10
Кумторкалинский район,,10
Ногайский район,,10
Тарумовский район,,10
городской округ Буйнакск,,11
городской округ Хасавюрт,,11
Ахвахский район,,11
Ботлихский район,,11
Буйнакский район,,11
Гергебильский район,,11
Гумбетовский район,,11
Гунибский район,,11
Казбековский район,,11
Левашинский район,,11
Новолакский район,,11
Тляратинский район,,11
Унцукульский район,,11
Хасавюртовский район,,11
Хунзахский район,,11
Цумадинский район,,11
Цунтинский район,,11
Чародинский район,,11
Шамильский район,,11
городской округ Дагестанские Огни,,12
городской округ Дербент,,12
городской округ Избербаш,,12
Агульский район,,12
Акушинский район,,12
Ахтынский район,,12
Дахадаевский район,,12
Дербентский район,,12
Докузпаринский район,,12
Кайтагский район,,12
Карабудахкентский район,,12
Каякентский район,,12
Кулинский район,,12
Курахский район,,12
Лакский район,,12
Магарамкентский район,,12
Рутульский район,,12
Сергокалинский район,,12
Сулейман-Стальский район,,12
Табасаранский район,,12
Хивский район,,12
Ингушетия,,16
Кабардино-Балкария,,17
Калмыкия,,18
Карачаево-Черкесия,,19
Карелия,,20
Республика Коми,,21
городской округ Симферополь,,22
Бахчисарайский район,,22
Симферопольский район,,22
городской округ Керчь,,23
городской округ Алушта,,23
городской округ Судак,,23
городской округ Феодосия,,23
городской округ Ялта,,23
Белогорский район,,23
Кировский район,1754556,23
Ленинский район,1754557,23
городской округ Джанкой,,24
городской округ Евпатория,,24
городской округ Красноперекопск,,24
городской округ Саки,,24
городской округ Армянск,,24
Джанкойский район,,24
Красногвардейский район,1754554,24
Красноперекопский район,1754555,24
Нижнегорский район,,24
Первомайский район,1754559,24
Раздольненский район,,24
Сакский район,,24
Советский район,1754562,24
Черноморский район,,24
Марий Эл,,27
Республика Саха (Якутия),,29
Северная Осетия — Алания,,30
Вахитовский район,,31
Приволжский район,2133466,31
Балтасинский район,,31
Кукморский район,,31
Лаишевский район,,31
Мамадышский район,,31
Пестречинский район,,31
Рыбно-Слободский район,,31
Сабинский район,,31
Тюлячинский район,,31
Кировский район,2133463,32
Московский район,2133464,32
Апастовский район,,32
Арский район,,32
Атнинский район,,32
Буинский район,,32
Верхнеуслонский район,,32
Высокогорский район,,32
Дрожжановский район,,32
Зеленодольский район,,32
Кайбицкий район,,32
Камско-Устьинский район,,32
Тетюшский район,,32
Аксубаевский район,,33
Алексеевский район,367113,33
Алькеевский район,,33
Елабужский район,,33
Абалачевское сельское поселение,,33
Брюшлинское сельское поселение,,33
Нижнекамский район,,33
Новошешминский район,,33
Нурлатский район,,33
Спасский район,367117,33
Черемшанский район,,33
Чистопольский район,,33
городской округ Набережные Челны,,34
Агрызский район,,34
Актанышский район,,34
городское поселение Менделеевск,,34
Бизякинское сельское поселение,,34
Енабердинское сельское поселение,,34
Ижевское сельское поселение,,34
Камаевское сельское поселение,,34
Монашевское сельское поселение,,34
Мунайкинское сельское поселение,,34
Псеевское сельское поселение,,34
Старогришкинское сельское поселение,,34
Татарско-Челнинское сельское поселение,,34
Тихоновское сельское поселение,,34
Тойгузинское сельское поселение,,34
Тураевское сельское поселение,,34
Мензелинский район,,34
Тукаевский район,,34
Азнакаевский район,,35
Альметьевский район,,35
Бавлинский район,,35
Бугульминский район,,35
Заинский район,,35
Лениногорский район,,35
Муслюмовский район,,35
Сармановский район,,35
Ютазинский район,,35
Авиастроительный район,,36
Ново-Савиновский район,,36
Советский район,2133467,36
Республика Тыва,,37
городской округ Воткинск,,38
городской округ Глазов,,38
Индустриальный район,971647,38
Устиновский район,,38
Балезинский район,,38
Воткинский район,,38
Глазовский район,,38
Дебёсский район,,38
Игринский район,,38
Кезский район,,38
Красногорский район,956130,38
Селтинский район,,38
Шарканский район,,38
Юкаменский район,,38
Якшур-Бодьинский район,,38
Ярский район,,38
Ленинский район,971635,39
Октябрьский район,971646,39
Первомайский район,971633,39
городской округ Можга,,39
городской округ Сарапул,,39
Алнашский район,,39
Вавожский район,,39
Граховский район,,39
Камбарский район,,39
Каракулинский район,,39
Кизнерский район,,39
Киясовский район,,39
Малопургинский район,,39
Можгинский район,,39
Сарапульский район,,39
Сюмсинский район,,39
Увинский район,,39
Республика Хакасия,,40
Чечня,,41
городской округ Новочебоксарск,,42
Калининский район,3889739,42
Батыревский муниципальный округ,,42
Канашский муниципальный округ,,42
Козловский муниципальный округ,,42
Комсомольский муниципальный округ,,42
Мариинско-Посадский муниципальный округ,,42
Урмарский муниципальный округ,,42
Цивильский муниципальный округ,,42
Шемуршинский муниципальный округ,,42
Яльчикский муниципальный округ,,42
Янтиковский муниципальный округ,,42
Ленинский район,3889738,43
Московский район,4016353,43
Алатырский муниципальный округ,,43
Аликовский муниципальный округ,,43
Вурнарский муниципальный округ,,43
Ибресинский муниципальный округ,,43
Красноармейский муниципальный округ,1761227,43
Красночетайский муниципальный округ,,43
Моргаушский муниципальный округ,,43
Порецкий муниципальный округ,,43
Шумерлинский муниципальный округ,,43
Ядринский муниципальный округ,,43
городской округ Алейск,,44
Железнодорожный район,4028307,44
Центральный район,3224888,44
городской округ Белокуриха,,44
городской округ Рубцовск,,44
муниципальный округ Змеиногорский район,,44
Солонешенский район,,44
муниципальный округ Чарышский район,,44
Алейский район,,44
Алтайский район,,44
Быстроистокский район,,44
Егорьевский район,,44
Калманский район,,44
Краснощёковский район,,44
Курьинский район,,44
Локтевский район,,44
Новичихинский район,,44
Петропавловский район,1150953,44
Поспелихинский район,,44
Рубцовский район,,44
Смоленский район,,44
Советский район,1150928,44
Топчихинский район,,44
Третьяковский район,,44
Усть-Калманский район,,44
Усть-Пристанский район,,44
Шипуновский район,,44
Ленинский район,4475886,45
Октябрьский район,4024771,45
городской округ Бийск,,45
городской округ Заринск,,45
городской округ Новоалтайск,,45
ЗАТО Сибирский,,45
Залесовский муниципальный округ,,45
Зональный район,,45
Бийский район,,45
Ельцовский район,,45
Заринский район,,45
Косихинский район,,45
Красногорский район,1150926,45
Кытмановский район,,45
Первомайский район,1314056,45
Солтонский район,,45
Тогульский район,,45
Троицкий район,1150931,45
Целинный район,,45
Индустриальный район,4030715,46
городской округ Яровое,,46
муниципальный округ Славгород,,46
Кулундинский район,,46
Немецкий национальный район,,46
муниципальный округ Суетский район,,46
Баевский район,,46
Благовещенский район,1083300,46
Бурлинский район,,46
Волчихинский район,,46
Завьяловский район,1150951,46
Каменский район,1100041,46
Ключевский район,,46
Крутихинский район,,46
Мамонтовский район,,46
Михайловский район,,46
Павловский район,1150923,46
Панкрушихинский район,,46
Ребрихинский район,,46
Родинский район,,46
Романовский район,1100039,46
Табунский район,,46
Тальменский район,,46
Тюменцевский район,,46
Угловский район,,46
Хабарский район,,46
Шелаболихинский район,,46
Забайкальский край,,47
Камчатский край,,48
Карасунский округ,,49
Центральный округ,916832,49
Васюринское сельское поселение,,49
Динское сельское поселение,,49
Красносельское сельское поселение,,49
Мичуринское сельское поселение,5680386,49
Первореченское сельское поселение,,49
Пластуновское сельское поселение,,49
Старомышастовское сельское поселение,,49
Тимашёвский район,,49
Приморско-Ахтарский муниципальный округ,,50
Нововеличковское сельское поселение,,50
Новотитаровское сельское поселение,,50
Южно-Кубанское сельское поселение,,50
Калининский район,365308,50
Красноармейский район,364123,50
Западный округ,,51
муниципальный округ Горячий Ключ,,51
Северский район,,51
муниципальный округ Анапа,,52
Абинский район,,52
Крымский район,,52
Славянский район,,52
Темрюкский район,,52
городской округ Геленджик,,53
городской округ Новороссийск,,53
Туапсинский муниципальный округ,,53
Хадыженское городское поселение,,53
Кабардинское сельское поселение,,53
Кубанское сельское поселение,3877522,53
Куринское сельское поселение,,53
Тверское сельское поселение,,53
городской округ Сириус,,54
городской округ Сочи,,54
Апшеронское городское поселение,,54
Нефтегорское городское поселение,,54
Мезмайское сельское поселение,,54
Нижегородское сельское поселение,,54
Новополянское сельское поселение,,54
Отдалённое сельское поселение,,54
Черниговское сельское поселение,,54
Белореченский район,,54
городской округ Армавир,,55
Курганинский район,,55
Лабинский район,,55
Мостовский район,,55
Новокубанский район,,55
Отрадненский район,,55
Успенский район,,55
Белоглинский район,,56
Выселковский район,,56
Гулькевичский район,,56
Кавказский район,,56
Кореновский район,,56
Ильинское сельское поселение,,56
Кубанское сельское поселение,6647814,56
Новопокровское сельское поселение,,56
Покровское сельское поселение,6647818,56
Тбилисский район,,56
Тихорецкий район,,56
Усть-Лабинский район,,56
Ленинградский муниципальный округ,,57
Брюховецкий район,,57
Ейский район,,57
Каневской район,,57
Крыловский район,,57
Кущёвский район,,57
Горькобалковское сельское поселение,,57
Калниболотское сельское поселение,,57
Незамаевское сельское поселение,,57
Новоивановское сельское поселение,,57
Павловский район,918995,57
Староминский район,,57
Щербиновский район,,57
городской округ Бородино,,58
городской округ Канск,,58
Кировский район,5854089,58
Ленинский район,5854090,58
Свердловский район,5854092,58
ЗАТО Зеленогорск,,58
Зыковский сельсовет,,58
Маганский сельсовет,,58
Ирбейский район,,58
Канский район,,58
Манский район,,58
Партизанский район,,58
Рыбинский район,,58
Саянский район,,58
Уярский район,,58
городской округ Ачинск,,59
Советский район,5854093,59
Центральный район,5854094,59
городской округ Сосновоборск,,59
ЗАТО Железногорск,,59
городской округ Кедровый,,59
Козульский район,,59
Ачинский район,,59
городское поселение Берёзовка,,59
Бархатовский сельсовет,,59
Вознесенский сельсовет,,59
Есаульский сельсовет,,59
городское поселение Емельяново,,59
Гаревский сельсовет,,59
Еловский сельсовет,,59
Никольский сельсовет,,59
сельсовет Памяти 13 Борцов,,59
Солонцовский сельсовет,,59
Тальский сельсовет,,59
Устюгский сельсовет,,59
Частоостровский сельсовет,,59
Шуваевский сельсовет,,59
Элитовский сельсовет,,59
городской округ Дивногорск,,60
Железнодорожный район,5854088,60
Октябрьский район,5854091,60
городской округ Минусинск,,60
городской округ Назарово,,60
городской округ Шарыпово,,60
ЗАТО Солнечный,1165299,60
Каратузский район,,60
Новосёловский район,,60
Шарыповский муниципальный округ,,60
Шушенский район,,60
Балахтинский район,,60
Зеледеевский сельсовет,,60
Мининский сельсовет,,60
Ермаковский район,,60
Идринский район,,60
Краснотуранский район,,60
Курагинский район,,60
Минусинский район,,60
Назаровский район,,60
Ужурский район,,60
городской округ Боготол,,61
городской округ Енисейск,,61
городской округ Лесосибирск,,61
городской округ Норильск,,61
Бирилюсский район,,61
Боготольский район,,61
Иланский район,,61
Кежемский район,,61
Пировский муниципальный округ,,61
Северо-Енисейский район,,61
Тюхтетский муниципальный округ,,61
Абанский район,,61
Богучанский район,,61
Большемуртинский район,,61
Большеулуйский район,,61
Дзержинский район,1161670,61
Енисейский район,,61
Казачинский район,,61
Мотыгинский район,,61
Нижнеингашский район,,61
Сухобузимский район,,61
Таймырский Долгано-Ненецкий район,,61
Тасеевский район,,61
Туруханский район,,61
Эвенкийский район,,61
Дзержинский район,1268696,62
Кировский район,1268698,62
Ленинский район,1268697,62
ЗАТО Звёздный,,62
Чайковский городской округ,,62
Бардымский муниципальный округ,,62
Большесосновский муниципальный округ,,62
Еловский муниципальный округ,,62
Куединский муниципальный округ,,62
Осинский муниципальный округ,,62
Оханский муниципальный округ,,62
Очёрский муниципальный округ,,62
Частинский муниципальный округ,,62
Мотовилихинский район,,63
Орджоникидзевский район,1268692,63
Александровский муниципальный округ,956946,63
Берёзовский муниципальный округ,1075337,63
Горнозаводский муниципальный округ,,63
Губахинский муниципальный округ,,63
Добрянский муниципальный округ,,63
муниципальный округ Кизел,,63
Лысьвенский муниципальный округ,,63
Чусовской муниципальный округ,,63
Индустриальный район,1268694,64
Свердловский район,1268699,64
Кишертский муниципальный округ,,64
Кунгурский муниципальный округ,,64
Октябрьский муниципальный округ,1076382,64
Ординский муниципальный округ,,64
Суксунский муниципальный округ,,64
Уинский муниципальный округ,,64
Чернушинский муниципальный округ,,64
муниципальный округ Березники,,65
Верещагинский муниципальный округ,,65
Гайнский муниципальный округ,,65
Ильинский муниципальный округ,,65
Карагайский муниципальный округ,,65
Косинский муниципальный округ,,65
Кочёвский муниципальный округ,,65
Красновишерский муниципальный округ,,65
Краснокамский муниципальный округ,,65
Кудымкарский муниципальный округ,,65
Нытвенский муниципальный округ,,65
Сивинский муниципальный округ,,65
Соликамский муниципальный округ,,65
Чердынский муниципальный округ,,65
Юрлинский муниципальный округ,,65
Юсьвинский муниципальный округ,,65
Ленинский район,1933824,66
Первомайский район,1933826,66
Фрунзенский район,1933812,66
Уссурийский городской округ,,66
Октябрьский муниципальный округ,1644100,66
Пограничный муниципальный округ,,66
Ханкайский муниципальный округ,,66
Хасанский муниципальный округ,,66
Надеждинский район,,66
Артёмовский городской округ,,67
Первореченский район,,67
Советский район,2517328,67
городской округ Большой Камень,,67
городской округ Спасск-Дальний,,67
ЗАТО Фокино,,67
Михайловский муниципальный округ,1644091,67
Хорольский муниципальный округ,,67
Черниговский муниципальный округ,,67
Шкотовский муниципальный округ,,67
Спасский район,1644131,67
Арсеньевский городской округ,,68
Дальнереченский городской округ,,68
Находкинский городской округ,,68
Партизанский городской округ,,68
Анучинский муниципальный округ,,68
Дальнегорский городской округ,,68
Кавалеровский муниципальный округ,,68
Красноармейский муниципальный округ,1645855,68
Лазовский муниципальный округ,,68
Лесозаводский городской округ,,68
Ольгинский муниципальный округ,,68
Партизанский муниципальный округ,,68
Пожарский муниципальный округ,,68
Тернейский муниципальный округ,,68
Чугуевский муниципальный округ,,68
Яковлевский муниципальный округ,1645107,68
Дальнереченский район,,68
Кировский район,1644137,68
Ленинский район,5856841,69
Октябрьский район,5856842,69
Александровский муниципальный округ,1030121,69
Благодарненский муниципальный округ,,69
Грачёвский муниципальный округ,,69
Ипатовский муниципальный округ,,69
Красногвардейский муниципальный округ,,69
Новоселицкий муниципальный округ,,69
Петровский муниципальный округ,,69
Труновский муниципальный округ,,69
городской округ Невинномысск,,70
Промышленный район,5856843,70
Андроповский муниципальный округ,,70
Изобильненский муниципальный округ,,70
Кочубеевский муниципальный округ,,70
Новоалександровский муниципальный округ,,70
городской округ Лермонтов,,71
городской округ Ессентуки,,71
городской округ Железноводск,,71
городской округ Кисловодск,,71
городской округ Пятигорск,,71
Минераловодский муниципальный округ,,71
Предгорный муниципальный округ,,71
Апанасенковский муниципальный округ,,72
Арзгирский муниципальный округ,,72
Будённовский муниципальный округ,,72
Георгиевский муниципальный округ,,72
Кировский муниципальный округ,,72
Курский муниципальный округ,,72
Левокумский муниципальный округ,,72
Нефтекумский муниципальный округ,,72
Советский муниципальный округ,,72
Степновский муниципальный округ,,72
Туркменский муниципальный округ,,72
Индустриальный район,1785055,73
Кировский район,1785056,73
Центральный район,1785058,73
Бикинский муниципальный округ,,73
Ванинский район,,73
Вяземский район,,73
Комсомольский район,1651726,73
район имени Лазо,,73
Нанайский район,,73
Николаевский район,1651609,73
Советско-Гаванский район,,73
Ульчский район,,73
Корфовское городское поселение,,73
Дружбинское сельское поселение,,73
Князе-Волконское сельское поселение,,73
Корсаковское сельское поселение,,73
Осиновореченское сельское поселение,,73
сельское поселение Село Бычиха,,73
сельское поселение Село Ильинка,,73
сельское поселение Село Казакевичево,,73
сельское поселение Село Некрасовка,,73
городской округ Комсомольск-на-Амуре,,74
Железнодорожный район,1785054,74
Краснофлотский район,,74
Охотский муниципальный округ,,74
Амурский район,,74
Аяно-Майский район,,74
Верхнебуреинский район,,74
район имени Полины Осипенко,,74
Солнечный район,,74
Тугуро-Чумиканский район,,74
Анастасьевское сельское поселение,,74
Восточное сельское поселение,,74
Галкинское сельское поселение,,74
Елабужское сельское поселение,,74
Куканское сельское поселение,,74
Малышевское сельское поселение,,74
Мирненское сельское поселение,3943349,74
Мичуринское сельское поселение,3791218,74
Наумовское сельское поселение,,74
Побединское сельское поселение,,74
Ракитненское сельское поселение,,74
Сергеевское сельское поселение,,74
Тополевское сельское поселение,,74
Улика-Национальное сельское поселение,,74
сельское поселение Село Новокуровка,,74
сельское поселение Село Петропавловка,,74
сельское поселение Село Сикачи-Алян,,74
сельское поселение Село Челны,,74
Амурская область,,75
Маймаксанский округ,,76
Октябрьский округ,5843673,76
Северный округ,,76
Соломбальский округ,,76
муниципальный округ Северодвинск,,76
Каргопольский муниципальный округ,,76
Няндомский муниципальный округ,,76
Онежский муниципальный округ,,76
Плесецкий муниципальный округ,,76
Вельский район,,76
Коношский район,,76
Варавино-Фактория,,77
Исакогорский округ,,77
Ломоносовский округ,,77
Майская Горка,,77
Цигломенский округ,,77
городской округ Коряжма,,77
городской округ Новодвинск,,77
городской округ Котлас,,77
ЗАТО Мирный,,77
городской округ Новая Земля,,77
Верхнетоемский муниципальный округ,,77
Вилегодский муниципальный округ,,77
Виноградовский муниципальный округ,,77
Котласский муниципальный округ,,77
Красноборский муниципальный округ,,77
Лешуконский муниципальный округ,,77
Мезенский муниципальный округ,,77
Пинежский муниципальный округ,,77
Устьянский муниципальный округ,,77
Холмогорский муниципальный округ,,77
Шенкурский муниципальный округ,,77
Ленский район,,77
Астраханская область,,78
городской округ Белгород,,79
Белгородский район,,79
Борисовский район,,79
Грайворонский муниципальный округ,,79
Ивнянский район,,79
Корочанский район,,79
Краснояружский район,,79
Прохоровский район,,79
Ракитянский район,,79
Яковлевский муниципальный округ,1645370,79
Губкинский городской округ,,80
Старооскольский городской округ,,80
Алексеевский муниципальный округ,,80
Валуйский муниципальный округ,,80
Вейделевский район,,80
Волоконовский район,,80
Красненский район,,80
Красногвардейский район,1645368,80
Новооскольский муниципальный округ,,80
Ровеньский район,,80
Чернянский район,,80
Шебекинский муниципальный округ,,80
Советский район,5518648,81
Фокинский район,,81
Новозыбковский городской округ,,81
Стародубский муниципальный округ,,81
Брасовский район,,81
Добрунское сельское поселение,,81
